total_dirt_cleaned,total_steps,total_agent_moves,total_agents_at_charger,total_failed_moves,steps_per_dirt,failed_moves_fraction,total_reward,dirt_remaining,start,agent,room,sigma,gamma
3,37,36,1,0,12.0,0.0,-8,0,"(1, 1)","MCAgent(0, 0.9)",simple_grid.grd,0.0,0.9
3,62,58,1,3,20.333333333333332,0.04918032786885246,-33,0,"(1, 1)","MCAgent(0, 0.9)",simple_grid.grd,0.25,0.9
1,1000,1000,0,0,1000.0,0.0,-994,2,"(8, 1)","MCAgent(0, 0.9)",simple_grid.grd,0.0,0.9
3,317,306,1,10,105.33333333333333,0.03164556962025317,-288,0,"(8, 1)","MCAgent(0, 0.9)",simple_grid.grd,0.25,0.9
3,46,45,1,0,15.0,0.0,-17,0,"(1, 8)","MCAgent(0, 0.9)",simple_grid.grd,0.0,0.9
3,51,50,1,0,16.666666666666668,0.0,-22,0,"(1, 8)","MCAgent(0, 0.9)",simple_grid.grd,0.25,0.9
3,53,52,1,0,17.333333333333332,0.0,-24,0,"(8, 8)","MCAgent(0, 0.9)",simple_grid.grd,0.0,0.9
3,75,73,1,1,24.666666666666668,0.013513513513513514,-46,0,"(8, 8)","MCAgent(0, 0.9)",simple_grid.grd,0.25,0.9
3,1000,1000,0,0,333.3333333333333,0.0,-982,0,"(1, 1)","MCAgent(0, 0.6)",simple_grid.grd,0.0,0.6
3,254,246,1,7,84.33333333333333,0.02766798418972332,-225,0,"(1, 1)","MCAgent(0, 0.6)",simple_grid.grd,0.25,0.6
3,1000,1000,0,0,333.3333333333333,0.0,-982,0,"(8, 1)","MCAgent(0, 0.6)",simple_grid.grd,0.0,0.6
3,195,192,1,2,64.66666666666667,0.010309278350515464,-166,0,"(8, 1)","MCAgent(0, 0.6)",simple_grid.grd,0.25,0.6
2,1000,1000,0,0,500.0,0.0,-988,1,"(1, 8)","MCAgent(0, 0.6)",simple_grid.grd,0.0,0.6
3,243,235,1,7,80.66666666666667,0.028925619834710745,-214,0,"(1, 8)","MCAgent(0, 0.6)",simple_grid.grd,0.25,0.6
0,1000,1000,0,0,-1.0,0.0,-1000,3,"(8, 8)","MCAgent(0, 0.6)",simple_grid.grd,0.0,0.6
3,255,246,1,8,84.66666666666667,0.031496062992125984,-226,0,"(8, 8)","MCAgent(0, 0.6)",simple_grid.grd,0.25,0.6
